country,iso3,n_paragraphs,share__violence_type__VD,share__violence_type__VS,share__violence_type__VC,share__violence_type__NONE_ABSENT,share__attribution__ATR-ISR,share__attribution__ATR-PAL,share__attribution__NONE,share__attribution__NONE_ABSENT,share__positive_negative__PN0,share__positive_negative__PN1,share__positive_negative__PN2,share__positive_negative__PN3,share__positive_negative__PN4,share__positive_negative__NONE_ABSENT,share__transcend__T0,share__transcend__T1,share__transcend__T2,share__transcend__T3,share__transcend__T4,share__transcend__NONE_ABSENT,share__imperialism__I0,share__imperialism__I1,share__imperialism__I2,share__imperialism__I3,share__imperialism__I4,share__imperialism__NONE_ABSENT,share__relation_type__AB,share__relation_type__ANTI,share__relation_type__SYM,share__relation_type__NONE_ABSENT,count__violence_type__VD,count__violence_type__VS,count__violence_type__VC,count__violence_type__NONE_ABSENT,count__attribution__ATR-ISR,count__attribution__ATR-PAL,count__attribution__NONE,count__attribution__NONE_ABSENT,count__positive_negative__PN0,count__positive_negative__PN1,count__positive_negative__PN2,count__positive_negative__PN3,count__positive_negative__PN4,count__positive_negative__NONE_ABSENT,count__transcend__T0,count__transcend__T1,count__transcend__T2,count__transcend__T3,count__transcend__T4,count__transcend__NONE_ABSENT,count__imperialism__I0,count__imperialism__I1,count__imperialism__I2,count__imperialism__I3,count__imperialism__I4,count__imperialism__NONE_ABSENT,count__relation_type__AB,count__relation_type__ANTI,count__relation_type__SYM,count__relation_type__NONE_ABSENT
Syrian Arab Republic,SYR,173,0.5433526011560693,0.3699421965317919,0.06936416184971098,0.2832369942196532,0.6647398843930635,0.011560693641618497,0.09248554913294797,0.2832369942196532,0.1329479768786127,0.06936416184971098,0.011560693641618497,0.16184971098265896,0.005780346820809248,0.6763005780346821,0.23121387283236994,0.11560693641618497,0.028901734104046242,0.011560693641618497,0.005780346820809248,0.6069364161849711,0.005780346820809248,0.06358381502890173,0.005780346820809248,0.04046242774566474,0.011560693641618497,0.8786127167630058,0.0,0.028901734104046242,0.017341040462427744,0.953757225433526,94,64,12,49,115,2,16,49,23,12,2,28,1,117,40,20,5,2,1,105,1,11,1,7,2,152,0,5,3,165
Jordan,JOR,167,0.4431137724550898,0.47904191616766467,0.12574850299401197,0.3473053892215569,0.6227544910179641,0.0,0.04790419161676647,0.3473053892215569,0.1377245508982036,0.32934131736526945,0.05389221556886228,0.31137724550898205,0.023952095808383235,0.3473053892215569,0.2155688622754491,0.03592814371257485,0.023952095808383235,0.16167664670658682,0.017964071856287425,0.562874251497006,0.011976047904191617,0.11976047904191617,0.029940119760479042,0.03592814371257485,0.029940119760479042,0.7784431137724551,0.005988023952095809,0.023952095808383235,0.19760479041916168,0.7724550898203593,74,80,21,58,104,0,8,58,23,55,9,52,4,58,36,6,4,27,3,94,2,20,5,6,5,130,1,4,33,129
Türkiye,TUR,144,0.3263888888888889,0.3055555555555556,0.034722222222222224,0.5347222222222222,0.4027777777777778,0.0,0.06944444444444445,0.5347222222222222,0.08333333333333333,0.20833333333333334,0.09027777777777778,0.2361111111111111,0.006944444444444444,0.4861111111111111,0.10416666666666667,0.027777777777777776,0.041666666666666664,0.0625,0.013888888888888888,0.7569444444444444,0.006944444444444444,0.09722222222222222,0.05555555555555555,0.013888888888888888,0.013888888888888888,0.8263888888888888,0.0,0.020833333333333332,0.1388888888888889,0.8402777777777778,47,44,5,77,58,0,10,77,12,30,13,34,1,70,15,4,6,9,2,109,1,14,8,2,2,119,0,3,20,121
Qatar,QAT,141,0.2765957446808511,0.2198581560283688,0.0070921985815602835,0.6382978723404256,0.3333333333333333,0.0,0.04964539007092199,0.6382978723404256,0.0851063829787234,0.2978723404255319,0.12056737588652482,0.1702127659574468,0.0070921985815602835,0.3900709219858156,0.0425531914893617,0.05673758865248227,0.06382978723404255,0.0425531914893617,0.0070921985815602835,0.7872340425531915,0.0,0.07092198581560284,0.07801418439716312,0.04964539007092199,0.028368794326241134,0.7801418439716312,0.0,0.0,0.10638297872340426,0.8936170212765957,39,31,1,90,47,0,7,90,12,42,17,24,1,55,6,8,9,6,1,111,0,10,11,7,4,110,0,0,15,126
South Africa,ZAF,131,0.2900763358778626,0.2366412213740458,0.015267175572519083,0.5648854961832062,0.366412213740458,0.04580152671755725,0.08396946564885496,0.5648854961832062,0.11450381679389313,0.13740458015267176,0.04580152671755725,0.16030534351145037,0.022900763358778626,0.5801526717557252,0.04580152671755725,0.061068702290076333,0.030534351145038167,0.030534351145038167,0.030534351145038167,0.8091603053435115,0.0,0.08396946564885496,0.015267175572519083,0.015267175572519083,0.015267175572519083,0.8702290076335878,0.0,0.04580152671755725,0.05343511450381679,0.9007633587786259,38,31,2,74,48,6,11,74,15,18,6,21,3,76,6,8,4,4,4,106,0,11,2,2,2,114,0,6,7,118
Kuwait,KWT,129,0.26356589147286824,0.29457364341085274,0.023255813953488372,0.5503875968992248,0.40310077519379844,0.0,0.046511627906976744,0.5503875968992248,0.10077519379844961,0.23255813953488372,0.05426356589147287,0.26356589147286824,0.0,0.4263565891472868,0.18604651162790697,0.17829457364341086,0.046511627906976744,0.046511627906976744,0.0,0.5503875968992248,0.007751937984496124,0.11627906976744186,0.031007751937984496,0.015503875968992248,0.0,0.8372093023255814,0.015503875968992248,0.05426356589147287,0.11627906976744186,0.813953488372093,34,38,3,71,52,0,6,71,13,30,7,34,0,55,24,23,6,6,0,71,1,15,4,2,0,108,2,7,15,105
Iraq,IRQ,127,0.4566929133858268,0.29133858267716534,0.015748031496062992,0.4409448818897638,0.5196850393700787,0.0,0.03937007874015748,0.4409448818897638,0.12598425196850394,0.1889763779527559,0.07086614173228346,0.2204724409448819,0.0,0.5590551181102362,0.09448818897637795,0.10236220472440945,0.08661417322834646,0.031496062992125984,0.0,0.6850393700787402,0.0,0.10236220472440945,0.0,0.031496062992125984,0.023622047244094488,0.8503937007874016,0.0,0.007874015748031496,0.015748031496062992,0.9763779527559056,58,37,2,56,66,0,5,56,16,24,9,28,0,71,12,13,11,4,0,87,0,13,0,4,3,108,0,1,2,124
Albania,ALB,118,0.3728813559322034,0.13559322033898305,0.0847457627118644,0.5254237288135594,0.1016949152542373,0.2627118644067797,0.1440677966101695,0.5254237288135594,0.01694915254237288,0.2627118644067797,0.11016949152542373,0.11864406779661017,0.05084745762711865,0.5084745762711864,0.01694915254237288,0.06779661016949153,0.03389830508474576,0.06779661016949153,0.07627118644067797,0.7372881355932204,0.01694915254237288,0.0423728813559322,0.059322033898305086,0.059322033898305086,0.025423728813559324,0.7966101694915254,0.0,0.025423728813559324,0.1694915254237288,0.8050847457627118,44,16,10,62,12,31,17,62,2,31,13,14,6,60,2,8,4,8,9,87,2,5,7,7,3,94,0,3,20,95
Saudi Arabia,SAU,116,0.3706896551724138,0.3275862068965517,0.034482758620689655,0.49137931034482757,0.4396551724137931,0.0,0.06896551724137931,0.49137931034482757,0.11206896551724138,0.29310344827586204,0.11206896551724138,0.1896551724137931,0.017241379310344827,0.4396551724137931,0.10344827586206896,0.10344827586206896,0.008620689655172414,0.08620689655172414,0.0,0.6982758620689655,0.0,0.07758620689655173,0.06896551724137931,0.034482758620689655,0.0,0.8275862068965517,0.0,0.017241379310344827,0.11206896551724138,0.8706896551724138,43,38,4,57,51,0,8,57,13,34,13,22,2,51,12,12,1,10,0,81,0,9,8,4,0,96,0,2,13,101
Ghana,GHA,108,0.2222222222222222,0.06481481481481481,0.0,0.7685185185185185,0.1111111111111111,0.1111111111111111,0.12962962962962962,0.7685185185185185,0.05555555555555555,0.3333333333333333,0.18518518518518517,0.10185185185185185,0.037037037037037035,0.3611111111111111,0.0,0.009259259259259259,0.046296296296296294,0.08333333333333333,0.07407407407407407,0.7870370370370371,0.0,0.08333333333333333,0.12037037037037036,0.027777777777777776,0.0,0.7777777777777778,0.0,0.0,0.16666666666666666,0.8333333333333334,24,7,0,83,12,12,14,83,6,36,20,11,4,39,0,1,5,9,8,85,0,9,13,3,0,84,0,0,18,90
